Question ID,Description,Link,Start at (sec),Length (sec)
Q1,Q: What color appears in the popular names of these albums?,,,
,A: _White_,,,
,Jacked Up (Weezer),https://www.youtube.com/watch?v=vWhShRS74fo,0,10
,Wind In Our Sail (Weezer),https://www.youtube.com/watch?v=n4XfFjDgqvg,14,16
,While My Guitar Gently Weeps (The Beatles),https://www.youtube.com/watch?v=YFDg-pgE0Hk,133,10
,Thank God for Girls (Weezer),https://www.youtube.com/watch?v=t4wjekuKn-4,40,9
,The Continuing Story Of Bungalow Bill (The Beatles),https://www.youtube.com/watch?v=J39DC9t0I5o,74,9
,Rocky Raccoon (The Beatles),https://www.youtube.com/watch?v=sDcDCZGcZj8,0,9
,Back In The U.S.S.R. (The Beatles),https://www.youtube.com/watch?v=dc2tJqnkLLA,6,15
,While My Guitar Gently Weeps (The Beatles),https://www.youtube.com/watch?v=YFDg-pgE0Hk,25,6
,,,,
Q2,Q: What person are these songs named for?,,,
,A: _Cleopatra_,,,
,Cleopatra (Train ft. Sofía Reyes),https://www.youtube.com/watch?v=uWW1V_-jC6k,33,15
,Cleopatra (Efendi),https://www.youtube.com/watch?v=oNKGLJTGSNU,45,15
,Cleopatra (Weezer),https://www.youtube.com/watch?v=eiyczpeHZDc,103,10
,Cleopatra (The Lumineers),https://www.youtube.com/watch?v=aN5s9N_pTUs,91,14
,Cleopatra (Weezer),https://www.youtube.com/watch?v=eiyczpeHZDc,56,8
